Código,NOMBRE DE LUGAR POBLADO,C1,C2
10101007,BIG CREEK,127,192
10101008,BLUFF,57,135
10101011,BOCAS DEL TORO (P),2107,5270
10101014,ISLA CARENERO,290,727
10101029,LA CARRETERA (P),6,12
10101035,MIMITIMBI,25,69
10101037,PAUNCH,60,103
10101059,CHIMBORAZO,14,15
10101065,BOQUET BAY (P),20,22
10101067,LA Y GRIEGA (P),6,6
10101068,LA COLONIA SANTEÑA (P),4,7
10101085,EL BAMBÚ,45,150
10102003,BAHÍA HONDA,94,295
10102005,BASTIMENTOS,460,951
10102006,CAYO CORAL O ISLA CORAL,2,2
10102009,MACCA BITE O ENSENADA DE ESPINO,18,36
10102012,OLA CHICA,7,2
10102013,PUNTA VIEJA,25,42
10102014,PUNTA JUAN BROWN,33,38
10102016,QUEBRADA ÁLVAREZ,8,5
10102017,QUEBRADA BRYAN,25,106
10102018,CEDRAL CREEK,3,5
10102019,QUEBRADA SAL,137,503
10102021,SHORT CUT O RED FROG,2,2
10102022,SOLARTE,187,414
10102024,KAEYAN CAL,16,8
10102026,WIZARDS BEACH,1,0
10102027,BAHÍA ROJA,29,103
10102029,GERMAN SOLDIER CAY,3,9
10102030,JACK ANALY CAYS,1,1
10102032,PUNTA BONITA,2,6
10102033,PUNTA ORO,2,2
10102034,QUEBRADA MARIANO,5,28
10102035,RED FROG BEACH,70,8
10102036,DOS AGUAS,4,9
10102037,EL PALMAR,5,2
10102038,ISLA ZAPATILLA NO.1,1,7
10102039,LOS SECRETOS RESORT,2,3
10102040,VISTA PELÍCANO,6,0
10102041,DOUGLAS CAY,1,2
10104001,CAYO DE AGUA,141,487
10104002,ISLA ZAPATILLA NO.2,3,0
10104004,ISLA VENADO,14,18
10104005,MINA DE CARBÓN,8,5
10104006,PUNTA LAUREL,48,83
10104007,ISLA TIGRE,163,617
10104008,ISLA POPA No.1,84,331
10104009,ISLA POPA No.2,76,260
10104012,PLAYA CARACOL,5,5
10104013,QUEBRADA PISCINA,34,173
10105003,BELLA VISTA O BAY VIEW O PUNTA BERMÚDEZ (P),7,6
10105006,CERRO BRUJO,47,171
10105007,CUAN BAY,1,0
10105008,AGUACATE,20,31
10105011,HOPE WELL O BUENA ESPERANZA,82,271
10105012,ISLA DE BAGUI,26,110
10105013,LOMA PARTIDA,113,343
10105015,PUEBLO NUEVO (P),12,48
10105018,SHARK HOLE O QUEBRADA MARAÑÓN,97,415
10105019,TIERRA OSCURA,117,315
10105020,TIGER KEY O ISLA TIGRE,1,8
10105023,PUNTA AFUERA,7,26
10105026,CAYO MONO (P),1,0
10105029,LOMA SANTOS (P),5,27
10106001,BOCA DE DRAGO,173,525
10106002,BOCAS DEL TORO (P),494,1196
10106003,BOQUET BAY (P),3,15
10106004,CARACOL CHIQUITO,3,11
10106005,GROUND CREEK,10,22
10106006,LA Y GRIEGA (P),105,229
10106007,LA CABAÑA,195,441
10106008,LA CARRETERA (P),38,10
10106009,LA COLONIA SANTEÑA (P),7,23
10106010,LITTLE BAY,2,4
10106011,PUNTA CARACOL,18,24
10106012,QUEBRADA MATOMBAL,4,6
10106013,SUNSET POINT,10,12
10106014,URBANIZACIÓN ISLA COLÓN,453,0
10107001,BAHÍA GRANDE O BIG BAY,75,193
10107002,BELLA VISTA,7,8
10107003,BELLA VISTA O BAY VIEW O PUNTA BERMÚDEZ (P),13,24
10107004,BOCATORITO (P),108,258
10107005,BUENA VISTA,13,8
10107007,FINCA NESSIN YISMI,1,0
10107008,PICHINI CREEK,18,53
10107009,PUNTA PALOMA,4,3
10107010,SAN CRISTÓBAL,167,689
10107011,SAN CRISTÓBAL ARRIBA,25,104
10107012,SELVA DEL MAR,7,1
10107013,VALLE ESCONDIDO O BAHÍA ESCONDIDA,92,335
10107014,EL REFUGIO,8,33
10201012,CHANGUINOLA (P),2301,6136
10203008,FINCA 41,108,535
10203010,FINCA 52,157,521
10203011,GUABITO (P),1202,3533
10203020,MATINA,13,21
10203028,LA VICTORIA,39,147
10203029,SANTA MARTA DE YORKIN (P),13,46
10203033,EL ARENAL (P),12,7
10203034,LA MONA (P),3,31
10203036,SAN SAN (P),17,39
10203037,GANADERA BOCAS,5,4
10203038,FINCA 42,4,15
10203055,ENTRADA DE SAN SAN,20,32
10203056,GUAMERU O TRAICIONERO,20,37
10203057,RÓMULO,39,231
10203058,PUENTE DE SAN SAN (P),5,8
10203059,MILLA 21 (P),9,10
10203060,MILLA 23 O PUENTE BLANCO (P),3,0
10203075,ISLA ARENAL,6,3
10203083,QUEBRADA CONEJO (P),2,2
10203091,PUENTE NEGRO (P),54,257
10203092,SUAMPITO,15,5
10203093,NUEVO GUABITO,19,43
10203097,BARRIADA EL CANGREJO O EL CANGREJAL,207,816
10203099,BARRIADA 17 DE OCTUBRE,65,230
10204002,BONDI,6,3
10204003,BONYIK,43,167
10204006,COQUITAL O LOMA COQUITAL,1,0
10204007,CUGIN,4,1
10204008,CUIÑ O CUIN,10,37
10204009,CHUPSCO,18,56
10204010,DIRIDI,5,2
10204011,DLUEYIC  O DRUEY,6,21
10204012,DRUNAAC O PIEDRA DE SAL,17,62
10204013,DUERPSCO,17,28
10204015,HUECSO,8,43
10204016,LA MONA,31,91
10204017,LOMA BANDERA,13,35
10204021,PEÑA BLANCA,22,38
10204024,SAN SAN (P),38,93
10204025,SAN SAN DRUY,177,534
10204026,SAN SAN TIGRA,80,326
10204027,SANTA ROSA (P),4,12
10204028,SIEKIN,129,381
10204029,SIEYIK,71,255
